"satpdbid","id"
"satpdb10001","ahtpdb_1001"
"satpdb10002","ahtpdb_1002"
"satpdb10003","ahtpdb_1003"
"satpdb10004","ahtpdb_1004"
"satpdb10005","ahtpdb_1005"
"satpdb10006","ahtpdb_1006"
"satpdb10007","ahtpdb_1007"
"satpdb10008","ahtpdb_1008"
"satpdb10009","ahtpdb_1009"
"satpdb10010","ahtpdb_1010"
"satpdb10011","ahtpdb_1011"
"satpdb10012","ahtpdb_1012"
"satpdb10013","ahtpdb_1013"
"satpdb10014","ahtpdb_1014"
"satpdb10015","ahtpdb_1015"
"satpdb10016","ahtpdb_1016"
"satpdb10017","ahtpdb_1017"
"satpdb10018","ahtpdb_1018"
"satpdb10019","ahtpdb_1019"
"satpdb10020","ahtpdb_1020"
"satpdb10021","ahtpdb_1021"
"satpdb10022","ahtpdb_1022"
"satpdb10023","ahtpdb_1023"
"satpdb10024","ahtpdb_1024"
"satpdb10025","ahtpdb_1025"
"satpdb10026","ahtpdb_1026"
"satpdb10027","ahtpdb_1027"
"satpdb10028","ahtpdb_1028"
"satpdb10029","ahtpdb_1029"
"satpdb10030","ahtpdb_1030"
"satpdb10031","ahtpdb_1031"
"satpdb10032","ahtpdb_1032"
"satpdb10033","ahtpdb_1033"
"satpdb10034","ahtpdb_1034"
"satpdb10035","ahtpdb_1035"
"satpdb10036","ahtpdb_1036"
"satpdb10037","ahtpdb_1037"
"satpdb10038","ahtpdb_1038"
"satpdb10039","ahtpdb_1039"
"satpdb10040","ahtpdb_1040"
"satpdb10041","ahtpdb_1041"
"satpdb10042","ahtpdb_1042"
"satpdb10043","ahtpdb_1043"
"satpdb10044","ahtpdb_1044"
"satpdb10045","ahtpdb_1045"
"satpdb10046","ahtpdb_1046"
"satpdb10047","ahtpdb_1047"
"satpdb10048","ahtpdb_1048"
"satpdb10049","ahtpdb_1049"
"satpdb10050","ahtpdb_1050"
"satpdb10051","ahtpdb_1051"
"satpdb10052","ahtpdb_1052"
"satpdb10053","ahtpdb_1053"
"satpdb10054","ahtpdb_1054"
"satpdb10055","ahtpdb_1055"
"satpdb10056","ahtpdb_1056"
"satpdb10057","ahtpdb_1057"
"satpdb10058","ahtpdb_1058"
"satpdb10059","ahtpdb_1059"
"satpdb10060","ahtpdb_1060"
"satpdb10061","ahtpdb_1061"
"satpdb10062","ahtpdb_1062"
"satpdb10063","ahtpdb_1063"
"satpdb10064","ahtpdb_1064"
"satpdb10065","ahtpdb_1065"
"satpdb10066","ahtpdb_1066"
"satpdb10067","ahtpdb_1067"
"satpdb10068","ahtpdb_1068"
"satpdb10069","ahtpdb_1069"
"satpdb10070","ahtpdb_1070"
"satpdb10071","ahtpdb_1071"
"satpdb10072","ahtpdb_1072"
"satpdb10073","ahtpdb_1073"
"satpdb10074","ahtpdb_1074"
"satpdb10075","ahtpdb_1075"
"satpdb10076","ahtpdb_1076"
"satpdb10077","ahtpdb_1077"
"satpdb10078","ahtpdb_1078"
"satpdb10079","ahtpdb_1079"
"satpdb10080","ahtpdb_1080"
"satpdb10081","ahtpdb_1081"
"satpdb10082","ahtpdb_1082"
"satpdb10083","ahtpdb_1083"
"satpdb10084","ahtpdb_1084"
"satpdb10085","ahtpdb_1085"
"satpdb10086","ahtpdb_1086"
"satpdb10087","ahtpdb_1087"
"satpdb10088","ahtpdb_1088"
"satpdb10089","ahtpdb_1089"
"satpdb10090","ahtpdb_1090"
"satpdb10091","ahtpdb_1091"
"satpdb10092","ahtpdb_1092"
"satpdb10093","ahtpdb_1093"
"satpdb10094","ahtpdb_1094"
"satpdb10095","ahtpdb_1095"
"satpdb10096","ahtpdb_1096"
"satpdb10097","ahtpdb_1097"
"satpdb10098","ahtpdb_1098"
"satpdb10099","ahtpdb_1099"
"satpdb10100","ahtpdb_1100"
"satpdb10101","ahtpdb_1101"
"satpdb10102","ahtpdb_1102"
"satpdb10103","ahtpdb_1103"
"satpdb10104","ahtpdb_1104"
"satpdb10105","ahtpdb_1105"
"satpdb10106","ahtpdb_1106"
"satpdb10107","ahtpdb_1107"
"satpdb10108","ahtpdb_1108"
"satpdb10109","ahtpdb_1109"
"satpdb10110","ahtpdb_1110"
"satpdb10111","ahtpdb_1111"
"satpdb10112","ahtpdb_1112"
"satpdb10113","ahtpdb_1113"
"satpdb10114","ahtpdb_1114"
"satpdb10115","ahtpdb_1115"
"satpdb10116","ahtpdb_1116"
"satpdb10117","ahtpdb_1117"
"satpdb10118","ahtpdb_1118"
"satpdb10119","ahtpdb_1119"
"satpdb10120","ahtpdb_1120"
"satpdb10121","ahtpdb_1121"
"satpdb10122","ahtpdb_1122"
"satpdb10123","ahtpdb_1123"
"satpdb10124","ahtpdb_1124"
"satpdb10125","ahtpdb_1125"
"satpdb10126","ahtpdb_1126"
"satpdb10127","ahtpdb_1127"
"satpdb10128","ahtpdb_1128"
"satpdb10129","ahtpdb_1129"
"satpdb10130","ahtpdb_1130"
"satpdb10131","ahtpdb_1131"
"satpdb10132","ahtpdb_1132"
"satpdb10133","ahtpdb_1133"
"satpdb10134","ahtpdb_1134"
"satpdb10135","ahtpdb_1135"
"satpdb10136","ahtpdb_1136"
"satpdb10137","ahtpdb_1137"
"satpdb10138","ahtpdb_1138"
"satpdb10139","ahtpdb_1139"
"satpdb10140","ahtpdb_1140"
"satpdb10141","ahtpdb_1141"
"satpdb10142","ahtpdb_1142"
"satpdb10143","ahtpdb_1143"
"satpdb10144","ahtpdb_1144"
"satpdb10145","ahtpdb_1145"
"satpdb10146","ahtpdb_1146"
"satpdb10147","ahtpdb_1147"
"satpdb10148","ahtpdb_1148"
"satpdb10149","ahtpdb_1149"
"satpdb10150","ahtpdb_1150"
"satpdb10151","ahtpdb_1151"
"satpdb10152","ahtpdb_1152"
"satpdb10153","ahtpdb_1153"
"satpdb10154","ahtpdb_1154"
"satpdb10155","ahtpdb_1155"
"satpdb10156","ahtpdb_1156"
"satpdb10157","ahtpdb_1157"
"satpdb10158","ahtpdb_1158"
"satpdb10159","ahtpdb_1159"
"satpdb10160","ahtpdb_1160"
"satpdb10161","ahtpdb_1161"
"satpdb10162","ahtpdb_1162"
"satpdb10163","ahtpdb_1163"
"satpdb10164","ahtpdb_1164"
"satpdb10165","ahtpdb_1165"
"satpdb10166","ahtpdb_1166"
"satpdb10167","ahtpdb_1167"
"satpdb10168","ahtpdb_1168"
"satpdb10169","ahtpdb_1169"
"satpdb10170","ahtpdb_1170"
"satpdb10171","ahtpdb_1171"
"satpdb10172","ahtpdb_1172"
"satpdb10173","ahtpdb_1173"
"satpdb10174","ahtpdb_1174"
"satpdb10175","ahtpdb_1175"
"satpdb10176","ahtpdb_1176"
"satpdb10177","ahtpdb_1177"
"satpdb10178","ahtpdb_1178"
"satpdb10179","ahtpdb_1179"
"satpdb10180","ahtpdb_1180"
"satpdb10181","ahtpdb_1181"
"satpdb10182","ahtpdb_1182"
"satpdb10183","ahtpdb_1183"
"satpdb10184","ahtpdb_1184"
"satpdb10185","ahtpdb_1185"
"satpdb10186","ahtpdb_1186"
"satpdb10187","ahtpdb_1187"
"satpdb10188","ahtpdb_1188"
"satpdb10189","ahtpdb_1189"
"satpdb10190","ahtpdb_1190"
"satpdb10191","ahtpdb_1191"
"satpdb10192","ahtpdb_1192"
"satpdb10193","ahtpdb_1193"
"satpdb10194","ahtpdb_1194"
"satpdb10195","ahtpdb_1195"
"satpdb10196","ahtpdb_1196"
"satpdb10197","ahtpdb_1197"
"satpdb10198","ahtpdb_1198"
"satpdb10199","ahtpdb_1199"
"satpdb10200","ahtpdb_1200"
"satpdb10201","ahtpdb_1201"
"satpdb10202","ahtpdb_1202"
"satpdb10203","ahtpdb_1203"
"satpdb10204","ahtpdb_1204"
"satpdb10205","ahtpdb_1205"
"satpdb10206","ahtpdb_1206"
"satpdb10207","ahtpdb_1207"
"satpdb10208","ahtpdb_1208"
"satpdb10209","ahtpdb_1209"
"satpdb10210","ahtpdb_1210"
"satpdb10211","ahtpdb_1211"
"satpdb10212","ahtpdb_1212"
"satpdb10213","ahtpdb_1213"
"satpdb10214","ahtpdb_1214"
"satpdb10215","ahtpdb_1215"
"satpdb10216","ahtpdb_1216"
"satpdb10217","ahtpdb_1217"
"satpdb10218","ahtpdb_1218"
"satpdb10219","ahtpdb_1219"
"satpdb10220","ahtpdb_1220"
"satpdb10221","ahtpdb_1221"
"satpdb10222","ahtpdb_1222"
"satpdb10223","ahtpdb_1223"
"satpdb10224","ahtpdb_1224"
"satpdb10225","ahtpdb_1225"
"satpdb10226","ahtpdb_1226"
"satpdb10227","ahtpdb_1227"
"satpdb10228","ahtpdb_1228"
"satpdb10229","ahtpdb_1229"
"satpdb10230","ahtpdb_1230"
"satpdb10231","ahtpdb_1231"
"satpdb10232","ahtpdb_1232"
"satpdb10233","ahtpdb_1233"
"satpdb10234","ahtpdb_1234"
"satpdb10235","ahtpdb_1235"
"satpdb10236","ahtpdb_1236"
"satpdb10237","ahtpdb_1237"
"satpdb10238","ahtpdb_1238"
"satpdb10239","ahtpdb_1239"
"satpdb10240","ahtpdb_1240"
"satpdb10241","ahtpdb_1241"
"satpdb10242","ahtpdb_1242"
"satpdb10243","ahtpdb_1243"
"satpdb10244","ahtpdb_1244"
"satpdb10245","ahtpdb_1245"
"satpdb10246","ahtpdb_1246"
"satpdb10247","ahtpdb_1247"
"satpdb10248","ahtpdb_1248"
"satpdb10249","ahtpdb_1249"
"satpdb10250","ahtpdb_1250"
"satpdb10251","ahtpdb_1251"
"satpdb10252","ahtpdb_1252"
"satpdb10253","ahtpdb_1253"
"satpdb10254","ahtpdb_1254"
"satpdb10255","ahtpdb_1255"
"satpdb10256","ahtpdb_1256"
"satpdb10257","ahtpdb_1257"
"satpdb10258","ahtpdb_1258"
"satpdb10259","ahtpdb_1259"
"satpdb10260","ahtpdb_1260"
"satpdb10261","ahtpdb_1261"
"satpdb10262","ahtpdb_1262"
"satpdb10263","ahtpdb_1263"
"satpdb10264","ahtpdb_1264"
"satpdb10265","ahtpdb_1265"
"satpdb10266","ahtpdb_1266"
"satpdb10267","ahtpdb_1267"
"satpdb10268","ahtpdb_1268"
"satpdb10269","ahtpdb_1269"
"satpdb10270","ahtpdb_1270"
"satpdb10271","ahtpdb_1271"
"satpdb10272","ahtpdb_1272"
"satpdb10273","ahtpdb_1273"
"satpdb10274","ahtpdb_1274"
"satpdb10275","ahtpdb_1275"
"satpdb10276","ahtpdb_1276"
"satpdb10277","ahtpdb_1277"
"satpdb10278","ahtpdb_1278"
"satpdb10279","ahtpdb_1279"
"satpdb10280","ahtpdb_1280"
"satpdb10281","ahtpdb_1281"
"satpdb10282","ahtpdb_1282"
"satpdb10283","ahtpdb_1283"
"satpdb10284","ahtpdb_1284"
"satpdb10285","ahtpdb_1285"
"satpdb10286","ahtpdb_1286"
"satpdb10287","ahtpdb_1287"
"satpdb10288","ahtpdb_1288"
"satpdb10289","ahtpdb_1289"
"satpdb10290","ahtpdb_1290"
"satpdb10291","ahtpdb_1291"
"satpdb10292","ahtpdb_1292"
"satpdb10293","ahtpdb_1293"
"satpdb10294","ahtpdb_1294"
"satpdb10295","ahtpdb_1295"
"satpdb10296","ahtpdb_1296"
"satpdb10297","ahtpdb_1297"
"satpdb10298","ahtpdb_1298"
